X,Y,Z,Layer,PaperSpace,SubClasses,Linetype,EntityHandle,Text,OGR_STYLE,,,,
12450,-41950,0,e-onepassreader,,AcDbEntity:AcDbPolyline,ByBlock,2.10E+01,,PEN(c:#c69214),,,,
14450,-41950,0,e-onepassreader,,AcDbEntity:AcDbPolyline,ByBlock,2.10E+01,,PEN(c:#c69214),,,,
14450,-42150,0,e-onepassreader,,AcDbEntity:AcDbPolyline,ByBlock,2.10E+01,,PEN(c:#c69214),,,,
12450,-42150,0,e-onepassreader,,AcDbEntity:AcDbPolyline,ByBlock,2.10E+01,,PEN(c:#c69214),,,,
12450,-41950,0,e-onepassreader,,AcDbEntity:AcDbPolyline,ByBlock,2.10E+01,,PEN(c:#c69214),,,,
45550,-17300,0,e-onepassreader,,AcDbEntity:AcDbPolyline,ByBlock,21F6,,PEN(c:#c69214),,,,
47550,-17300,0,e-onepassreader,,AcDbEntity:AcDbPolyline,ByBlock,21F6,,PEN(c:#c69214),,,,
47550,-17500,0,e-onepassreader,,AcDbEntity:AcDbPolyline,ByBlock,21F6,,PEN(c:#c69214),,,,
45550,-17500,0,e-onepassreader,,AcDbEntity:AcDbPolyline,ByBlock,21F6,,PEN(c:#c69214),,,,
45550,-17300,0,e-onepassreader,,AcDbEntity:AcDbPolyline,ByBlock,21F6,,PEN(c:#c69214),,,,
16345.00022,-46900.00004,0,e-elevator,,AcDbEntity:AcDbPolyline,ByBlock,21FC,,PEN(c:#c6b0bc),,,,
14895.00022,-46900.00004,0,e-elevator,,AcDbEntity:AcDbPolyline,ByBlock,21FC,,PEN(c:#c6b0bc),,,,
14895.00022,-45100.00004,0,e-elevator,,AcDbEntity:AcDbPolyline,ByBlock,21FC,,PEN(c:#c6b0bc),,,,
16345.00022,-45100.00004,0,e-elevator,,AcDbEntity:AcDbPolyline,ByBlock,21FC,,PEN(c:#c6b0bc),,,,
16345.00022,-46900.00004,0,e-elevator,,AcDbEntity:AcDbPolyline,ByBlock,21FC,,PEN(c:#c6b0bc),,,,
15620.00022,-46000.00004,0,e-elevator,,AcDbEntity:AcDbMText,ByBlock,21FD,E/V,"LABEL(f:""Dotum"",t:""E/V"",s:500g,p:5,c:#c6b0bc)",,,,
16345.00022,-49500.00004,0,e-elevator,,AcDbEntity:AcDbPolyline,ByBlock,21FE,,PEN(c:#c6b0bc),,,,
14895.00022,-49500.00004,0,e-elevator,,AcDbEntity:AcDbPolyline,ByBlock,21FE,,PEN(c:#c6b0bc),,,,
14895.00022,-47700.00004,0,e-elevator,,AcDbEntity:AcDbPolyline,ByBlock,21FE,,PEN(c:#c6b0bc),,,,
16345.00022,-47700.00004,0,e-elevator,,AcDbEntity:AcDbPolyline,ByBlock,21FE,,PEN(c:#c6b0bc),,,,
16345.00022,-49500.00004,0,e-elevator,,AcDbEntity:AcDbPolyline,ByBlock,21FE,,PEN(c:#c6b0bc),,,,
15620.00022,-48600.00004,0,e-elevator,,AcDbEntity:AcDbMText,ByBlock,21FF,E/V,"LABEL(f:""Dotum"",t:""E/V"",s:500g,p:5,c:#c6b0bc)",,,,
49445.00022,-22250.00004,0,e-elevator,,AcDbEntity:AcDbPolyline,ByBlock,2200,,PEN(c:#c6b0bc),,,,
47995.00022,-22250.00004,0,e-elevator,,AcDbEntity:AcDbPolyline,ByBlock,2200,,PEN(c:#c6b0bc),,,,
47995.00022,-20450.00004,0,e-elevator,,AcDbEntity:AcDbPolyline,ByBlock,2200,,PEN(c:#c6b0bc),,,,
49445.00022,-20450.00004,0,e-elevator,,AcDbEntity:AcDbPolyline,ByBlock,2200,,PEN(c:#c6b0bc),,,,
